# E (eV)   ldos(E)   pdos(E)    pdos(E)    pdos(E)   
 -17.864  0.130E-03  0.130E-03  0.489E-09  0.488E-09
 -17.814  0.872E-03  0.872E-03  0.327E-08  0.327E-08
 -17.764  0.467E-02  0.467E-02  0.175E-07  0.175E-07
 -17.714  0.200E-01  0.200E-01  0.752E-07  0.751E-07
 -17.664  0.687E-01  0.687E-01  0.258E-06  0.258E-06
 -17.614  0.188E+00  0.188E+00  0.707E-06  0.707E-06
 -17.564  0.413E+00  0.413E+00  0.155E-05  0.155E-05
 -17.514  0.725E+00  0.725E+00  0.272E-05  0.272E-05
 -17.464  0.102E+01  0.102E+01  0.382E-05  0.382E-05
 -17.414  0.114E+01  0.114E+01  0.429E-05  0.429E-05
 -17.364  0.103E+01  0.103E+01  0.386E-05  0.385E-05
 -17.314  0.738E+00  0.737E+00  0.277E-05  0.277E-05
 -17.264  0.424E+00  0.424E+00  0.159E-05  0.159E-05
 -17.214  0.195E+00  0.195E+00  0.733E-06  0.732E-06
 -17.164  0.717E-01  0.717E-01  0.270E-06  0.269E-06
 -17.114  0.211E-01  0.211E-01  0.793E-07  0.793E-07
 -17.064  0.497E-02  0.497E-02  0.187E-07  0.187E-07
 -17.014  0.935E-03  0.935E-03  0.352E-08  0.351E-08
 -16.964  0.141E-03  0.141E-03  0.530E-09  0.529E-09
 -16.914  0.170E-04  0.170E-04  0.638E-10  0.638E-10
 -16.864  0.164E-05  0.164E-05  0.615E-11  0.615E-11
 -16.814  0.126E-06  0.126E-06  0.474E-12  0.474E-12
 -16.764  0.778E-08  0.778E-08  0.293E-13  0.293E-13
 -16.714  0.384E-09  0.384E-09  0.144E-14  0.144E-14
 -16.664  0.152E-10  0.152E-10  0.570E-16  0.570E-16
 -16.614  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.564  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.514  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.464  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.414  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.364  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.314  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.264  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.214  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.164  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.114  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.064  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.014  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.964  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.914  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.864  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.814  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.764  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.714  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.664  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.614  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.564  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.514  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.464  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.414  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.364  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.314  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.264  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.214  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.164  0.000E+00  0.000E+00  0.000E+00  0.000E+00
