    0.3614   -4.9770	  0.57063869E+00 -0.49768550E+01
    0.3771   -4.9743	  0.59544907E+00 -0.49742295E+01
    0.3928   -4.9720	  0.62025945E+00 -0.49720473E+01
    0.4086   -4.9702	  0.64506983E+00 -0.49702476E+01
    0.4243   -4.9687	  0.66988021E+00 -0.49687839E+01
    0.4400   -4.9676	  0.69469058E+00 -0.49676761E+01
    0.4557   -4.9670	  0.71950096E+00 -0.49669916E+01
    0.4714   -4.9668	  0.74431134E+00 -0.49667831E+01
    0.4874   -4.9669	  0.76952293E+00 -0.49668449E+01
    0.5033   -4.9672	  0.79473451E+00 -0.49671978E+01
    0.5193   -4.9677	  0.81994610E+00 -0.49678132E+01
    0.5353   -4.9684	  0.84515769E+00 -0.49686288E+01
    0.5512   -4.9693	  0.87036928E+00 -0.49695774E+01
    0.5672   -4.9704	  0.89558086E+00 -0.49706009E+01
    0.5832   -4.9716	  0.92079245E+00 -0.49716649E+01
    0.5991   -4.9730	  0.94600404E+00 -0.49727763E+01
    0.6151   -4.9744	  0.97121562E+00 -0.49739833E+01
    0.6311   -4.9759	  0.99642721E+00 -0.49753505E+01
    0.6470   -4.9775	  0.10216388E+01 -0.49769271E+01
    0.6630   -4.9791	  0.10468504E+01 -0.49787183E+01
    0.6790   -4.9807	  0.10720620E+01 -0.49806550E+01
    0.6950   -4.9822	  0.10972736E+01 -0.49825748E+01
    0.7109   -4.9836	  0.11224851E+01 -0.49842624E+01
    0.7269   -4.9850	  0.11476967E+01 -0.49855543E+01
    0.7429   -4.9862	  0.11729083E+01 -0.49864338E+01
    0.7588   -4.9872	  0.11981199E+01 -0.49870367E+01
    0.7748   -4.9881	  0.12233315E+01 -0.49875666E+01
    0.7908   -4.9888	  0.12485431E+01 -0.49881845E+01
    0.8067   -4.9893	  0.12737547E+01 -0.49889266E+01
    0.8227   -4.9895	  0.12989663E+01 -0.49896705E+01
    0.8387   -4.9895	  0.13241778E+01 -0.49901670E+01
    0.8546   -4.9893	  0.13493894E+01 -0.49901558E+01
    0.8706   -4.9889	  0.13746010E+01 -0.49895183E+01
    0.8866   -4.9882	  0.13998126E+01 -0.49883591E+01
    0.9021   -4.9924	  0.14243749E+01 -0.49932563E+01
    0.9177   -4.9969	  0.14489372E+01 -0.49983684E+01
    0.9332   -5.0017	  0.14734994E+01 -0.50032505E+01
    0.9488   -5.0068	  0.14980617E+01 -0.50076753E+01
    0.9643   -5.0120	  0.15226240E+01 -0.50118739E+01
    0.9799   -5.0175	  0.15471863E+01 -0.50163663E+01
    0.9955   -5.0230	  0.15717485E+01 -0.50215453E+01
    1.0110   -5.0286	  0.15963108E+01 -0.50274123E+01
    1.0266   -5.0342	  0.16208731E+01 -0.50336274E+01
    1.0421   -5.0397	  0.16454354E+01 -0.50397473E+01
    1.0577   -5.0450	  0.16699976E+01 -0.50454502E+01
    1.0732   -5.0501	  0.16945599E+01 -0.50506116E+01
    1.0888   -5.0549	  0.17191222E+01 -0.50552450E+01
    1.1044   -5.0593	  0.17436844E+01 -0.50594097E+01
    1.1199   -5.0631	  0.17682467E+01 -0.50631442E+01
    1.1355   -5.0664	  0.17928090E+01 -0.50664257E+01
    1.1510   -5.0691	  0.18173713E+01 -0.50691550E+01
    1.1666   -5.0710	  0.18419335E+01 -0.50711771E+01
    1.1821   -5.0722	  0.18664958E+01 -0.50723391E+01
    1.1977   -5.0726	  0.18910581E+01 -0.50725622E+01
    0.0000   -3.9116	  0.00000000E+00 -0.39115705E+01
    0.0157   -3.9087	  0.24810378E-01 -0.39062244E+01
    0.0314   -3.9001	  0.49620756E-01 -0.38971442E+01
    0.0471   -3.8857	  0.74431134E-01 -0.38838050E+01
    0.0629   -3.8655	  0.99241512E-01 -0.38650150E+01
    0.0786   -3.8397	  0.12405189E+00 -0.38396838E+01
    0.0943   -3.8081	  0.14886227E+00 -0.38073861E+01
    0.1100   -3.7709	  0.17367265E+00 -0.37686625E+01
    0.1257   -3.7281	  0.19848302E+00 -0.37248613E+01
    0.1414   -3.6798	  0.22329340E+00 -0.36772964E+01
    0.1571   -3.6261	  0.24810378E+00 -0.36260910E+01
    0.1728   -3.5671	  0.27291416E+00 -0.35697342E+01
    0.1886   -3.5029	  0.29772454E+00 -0.35062210E+01
    0.2043   -3.4339	  0.32253491E+00 -0.34352939E+01
    0.2200   -3.3601	  0.34734529E+00 -0.33594663E+01
    0.2357   -3.2820	  0.37215567E+00 -0.32820356E+01
    0.2514   -3.2000	  0.39696605E+00 -0.32039659E+01
    0.2671   -3.1145	  0.42177643E+00 -0.31231189E+01
    0.2828   -3.0264	  0.44658680E+00 -0.30365418E+01
    0.2986   -2.9368	  0.47139718E+00 -0.29436015E+01
    0.3143   -2.8476	  0.49620756E+00 -0.28476169E+01
    0.3300   -2.7619	  0.52101794E+00 -0.27555456E+01
    0.3457   -2.6849	  0.54582832E+00 -0.26763070E+01
    0.3614   -2.6231	  0.57063869E+00 -0.26168531E+01
    0.3771   -2.5798	  0.59544907E+00 -0.25772888E+01
    0.3928   -2.5522	  0.62025945E+00 -0.25522118E+01
    0.4086   -2.5352	  0.64506983E+00 -0.25361294E+01
    0.4243   -2.5246	  0.66988021E+00 -0.25255887E+01
    0.4400   -2.5182	  0.69469058E+00 -0.25187898E+01
    0.4557   -2.5147	  0.71950096E+00 -0.25149102E+01
    0.4714   -2.5136	  0.74431134E+00 -0.25136470E+01
    0.4874   -2.5143	  0.76952293E+00 -0.25143793E+01
    0.5033   -2.5162	  0.79473451E+00 -0.25165481E+01
    0.5193   -2.5195	  0.81994610E+00 -0.25201132E+01
    0.5353   -2.5245	  0.84515769E+00 -0.25251502E+01
    0.5512   -2.5315	  0.87036928E+00 -0.25319792E+01
    0.5672   -2.5410	  0.89558086E+00 -0.25412404E+01
    0.5832   -2.5538	  0.92079245E+00 -0.25539155E+01
    0.5991   -2.5707	  0.94600404E+00 -0.25712135E+01
    0.6151   -2.5923	  0.97121562E+00 -0.25940374E+01
    0.6311   -2.6189	  0.99642721E+00 -0.26220268E+01
    0.6470   -2.6497	  0.10216388E+01 -0.26532679E+01
    0.6630   -2.6832	  0.10468504E+01 -0.26855872E+01
    0.6790   -2.7176	  0.10720620E+01 -0.27179225E+01
    0.6950   -2.7512	  0.10972736E+01 -0.27500617E+01
    0.7109   -2.7829	  0.11224851E+01 -0.27815183E+01
    0.7269   -2.8115	  0.11476967E+01 -0.28110818E+01
    0.7429   -2.8365	  0.11729083E+01 -0.28372347E+01
    0.7588   -2.8575	  0.11981199E+01 -0.28586691E+01
    0.7748   -2.8742	  0.12233315E+01 -0.28746012E+01
    0.7908   -2.8864	  0.12485431E+01 -0.28850687E+01
    0.8067   -2.8941	  0.12737547E+01 -0.28909603E+01
    0.8227   -2.8972	  0.12989663E+01 -0.28933360E+01
    0.8387   -2.8958	  0.13241778E+01 -0.28924598E+01
    0.8546   -2.8899	  0.13493894E+01 -0.28876093E+01
    0.8706   -2.8797	  0.13746010E+01 -0.28779295E+01
    0.8866   -2.8653	  0.13998126E+01 -0.28633474E+01
    0.9021   -2.9539	  0.14243749E+01 -0.29435265E+01
    0.9177   -3.0425	  0.14489372E+01 -0.30282615E+01
    0.9332   -3.1293	  0.14734994E+01 -0.31168181E+01
    0.9488   -3.2134	  0.14980617E+01 -0.32068246E+01
    0.9643   -3.2940	  0.15226240E+01 -0.32951858E+01
    0.9799   -3.3707	  0.15471863E+01 -0.33785611E+01
    0.9955   -3.4431	  0.15717485E+01 -0.34540015E+01
    1.0110   -3.5109	  0.15963108E+01 -0.35201883E+01
    1.0266   -3.5738	  0.16208731E+01 -0.35783181E+01
    1.0421   -3.6317	  0.16454354E+01 -0.36312900E+01
    1.0577   -3.6844	  0.16699976E+01 -0.36814918E+01
    1.0732   -3.7318	  0.16945599E+01 -0.37291491E+01
    1.0888   -3.7737	  0.17191222E+01 -0.37726237E+01
    1.1044   -3.8102	  0.17436844E+01 -0.38101138E+01
    1.1199   -3.8411	  0.17682467E+01 -0.38411012E+01
    1.1355   -3.8665	  0.17928090E+01 -0.38663219E+01
    1.1510   -3.8862	  0.18173713E+01 -0.38865450E+01
