# E (eV)   ldos(E)   pdos(E)   
   2.964  0.322E-01  0.322E-01
   3.014  0.311E-01  0.311E-01
   3.064  0.303E-01  0.303E-01
   3.114  0.299E-01  0.299E-01
   3.164  0.308E-01  0.308E-01
   3.214  0.337E-01  0.337E-01
   3.264  0.386E-01  0.386E-01
   3.314  0.444E-01  0.444E-01
   3.364  0.490E-01  0.490E-01
   3.414  0.512E-01  0.512E-01
   3.464  0.512E-01  0.512E-01
   3.514  0.506E-01  0.506E-01
   3.564  0.499E-01  0.499E-01
   3.614  0.492E-01  0.492E-01
   3.664  0.479E-01  0.479E-01
   3.714  0.463E-01  0.463E-01
   3.764  0.443E-01  0.443E-01
   3.814  0.421E-01  0.421E-01
   3.864  0.401E-01  0.401E-01
   3.914  0.392E-01  0.392E-01
   3.964  0.391E-01  0.391E-01
   4.014  0.387E-01  0.387E-01
   4.064  0.373E-01  0.373E-01
   4.114  0.355E-01  0.355E-01
   4.164  0.348E-01  0.348E-01
   4.214  0.357E-01  0.357E-01
   4.264  0.373E-01  0.373E-01
   4.314  0.379E-01  0.379E-01
   4.364  0.367E-01  0.367E-01
   4.414  0.345E-01  0.345E-01
   4.464  0.325E-01  0.325E-01
   4.514  0.316E-01  0.316E-01
   4.564  0.318E-01  0.318E-01
   4.614  0.323E-01  0.323E-01
   4.664  0.326E-01  0.326E-01
   4.714  0.326E-01  0.326E-01
   4.764  0.325E-01  0.325E-01
   4.814  0.328E-01  0.328E-01
   4.864  0.331E-01  0.331E-01
   4.914  0.331E-01  0.331E-01
   4.964  0.324E-01  0.324E-01
   5.014  0.317E-01  0.317E-01
   5.064  0.323E-01  0.323E-01
   5.114  0.350E-01  0.350E-01
   5.164  0.391E-01  0.391E-01
   5.214  0.426E-01  0.426E-01
   5.264  0.441E-01  0.441E-01
   5.314  0.437E-01  0.437E-01
   5.364  0.425E-01  0.425E-01
   5.414  0.410E-01  0.410E-01
   5.464  0.397E-01  0.397E-01
   5.514  0.402E-01  0.402E-01
   5.564  0.436E-01  0.436E-01
   5.614  0.479E-01  0.479E-01
   5.664  0.498E-01  0.498E-01
   5.714  0.478E-01  0.478E-01
   5.764  0.445E-01  0.445E-01
   5.814  0.435E-01  0.435E-01
   5.864  0.466E-01  0.466E-01
   5.914  0.514E-01  0.514E-01
   5.964  0.542E-01  0.542E-01
   6.014  0.523E-01  0.523E-01
   6.064  0.464E-01  0.464E-01
   6.114  0.397E-01  0.397E-01
   6.164  0.358E-01  0.358E-01
   6.214  0.370E-01  0.370E-01
   6.264  0.433E-01  0.433E-01
   6.314  0.522E-01  0.522E-01
   6.364  0.601E-01  0.601E-01
   6.414  0.639E-01  0.639E-01
   6.464  0.625E-01  0.625E-01
   6.514  0.571E-01  0.571E-01
   6.564  0.504E-01  0.504E-01
   6.614  0.447E-01  0.447E-01
   6.664  0.406E-01  0.406E-01
   6.714  0.383E-01  0.383E-01
   6.764  0.393E-01  0.393E-01
   6.814  0.455E-01  0.455E-01
   6.864  0.561E-01  0.561E-01
   6.914  0.668E-01  0.668E-01
   6.964  0.719E-01  0.719E-01
   7.014  0.683E-01  0.683E-01
   7.064  0.580E-01  0.580E-01
   7.114  0.463E-01  0.463E-01
   7.164  0.379E-01  0.379E-01
   7.214  0.350E-01  0.350E-01
   7.264  0.371E-01  0.371E-01
   7.314  0.429E-01  0.429E-01
   7.364  0.517E-01  0.517E-01
   7.414  0.621E-01  0.621E-01
   7.464  0.712E-01  0.712E-01
   7.514  0.754E-01  0.754E-01
   7.564  0.723E-01  0.723E-01
   7.614  0.627E-01  0.627E-01
   7.664  0.513E-01  0.513E-01
   7.714  0.429E-01  0.429E-01
