# E (eV)   ldos(E)   pdos(E)   
 -19.205  0.499E-03  0.499E-03
 -19.155  0.333E-02  0.333E-02
 -19.105  0.178E-01  0.178E-01
 -19.055  0.759E-01  0.759E-01
 -19.005  0.259E+00  0.259E+00
 -18.955  0.709E+00  0.709E+00
 -18.905  0.155E+01  0.155E+01
 -18.855  0.271E+01  0.271E+01
 -18.805  0.379E+01  0.379E+01
 -18.755  0.424E+01  0.424E+01
 -18.705  0.380E+01  0.380E+01
 -18.655  0.272E+01  0.272E+01
 -18.605  0.156E+01  0.156E+01
 -18.555  0.714E+00  0.714E+00
 -18.505  0.262E+00  0.262E+00
 -18.455  0.767E-01  0.767E-01
 -18.405  0.180E-01  0.180E-01
 -18.355  0.338E-02  0.338E-02
 -18.305  0.507E-03  0.507E-03
 -18.255  0.609E-04  0.609E-04
 -18.205  0.585E-05  0.585E-05
 -18.155  0.449E-06  0.449E-06
 -18.105  0.276E-07  0.276E-07
 -18.055  0.136E-08  0.136E-08
 -18.005  0.534E-10  0.534E-10
 -17.955  0.000E+00  0.000E+00
 -17.905  0.000E+00  0.000E+00
 -17.855  0.000E+00  0.000E+00
 -17.805  0.000E+00  0.000E+00
 -17.755  0.000E+00  0.000E+00
 -17.705  0.000E+00  0.000E+00
 -17.655  0.000E+00  0.000E+00
 -17.605  0.000E+00  0.000E+00
 -17.555  0.000E+00  0.000E+00
 -17.505  0.000E+00  0.000E+00
 -17.455  0.000E+00  0.000E+00
 -17.405  0.000E+00  0.000E+00
 -17.355  0.000E+00  0.000E+00
 -17.305  0.000E+00  0.000E+00
 -17.255  0.000E+00  0.000E+00
 -17.205  0.000E+00  0.000E+00
 -17.155  0.000E+00  0.000E+00
 -17.105  0.000E+00  0.000E+00
 -17.055  0.000E+00  0.000E+00
 -17.005  0.000E+00  0.000E+00
 -16.955  0.000E+00  0.000E+00
 -16.905  0.000E+00  0.000E+00
 -16.855  0.000E+00  0.000E+00
 -16.805  0.000E+00  0.000E+00
 -16.755  0.000E+00  0.000E+00
 -16.705  0.000E+00  0.000E+00
 -16.655  0.000E+00  0.000E+00
 -16.605  0.000E+00  0.000E+00
 -16.555  0.000E+00  0.000E+00
 -16.505  0.000E+00  0.000E+00
 -16.455  0.000E+00  0.000E+00
 -16.405  0.000E+00  0.000E+00
 -16.355  0.000E+00  0.000E+00
 -16.305  0.000E+00  0.000E+00
 -16.255  0.000E+00  0.000E+00
 -16.205  0.000E+00  0.000E+00
 -16.155  0.000E+00  0.000E+00
 -16.105  0.000E+00  0.000E+00
 -16.055  0.000E+00  0.000E+00
 -16.005  0.000E+00  0.000E+00
 -15.955  0.000E+00  0.000E+00
 -15.905  0.000E+00  0.000E+00
 -15.855  0.000E+00  0.000E+00
 -15.805  0.000E+00  0.000E+00
 -15.755  0.000E+00  0.000E+00
 -15.705  0.000E+00  0.000E+00
 -15.655  0.000E+00  0.000E+00
 -15.605  0.000E+00  0.000E+00
 -15.555  0.000E+00  0.000E+00
 -15.505  0.000E+00  0.000E+00
 -15.455  0.000E+00  0.000E+00
 -15.405  0.000E+00  0.000E+00
 -15.355  0.000E+00  0.000E+00
 -15.305  0.000E+00  0.000E+00
 -15.255  0.000E+00  0.000E+00
 -15.205  0.000E+00  0.000E+00
 -15.155  0.000E+00  0.000E+00
 -15.105  0.000E+00  0.000E+00
 -15.055  0.000E+00  0.000E+00
 -15.005  0.000E+00  0.000E+00
 -14.955  0.000E+00  0.000E+00
 -14.905  0.000E+00  0.000E+00
 -14.855  0.000E+00  0.000E+00
 -14.805  0.000E+00  0.000E+00
 -14.755  0.000E+00  0.000E+00
 -14.705  0.000E+00  0.000E+00
 -14.655  0.000E+00  0.000E+00
 -14.605  0.000E+00  0.000E+00
 -14.555  0.000E+00  0.000E+00
 -14.505  0.000E+00  0.000E+00
 -14.455  0.000E+00  0.000E+00
 -14.405  0.000E+00  0.000E+00
 -14.355  0.000E+00  0.000E+00
 -14.305  0.000E+00  0.000E+00
 -14.255  0.000E+00  0.000E+00
 -14.205  0.000E+00  0.000E+00
 -14.155  0.000E+00  0.000E+00
 -14.105  0.000E+00  0.000E+00
 -14.055  0.000E+00  0.000E+00
 -14.005  0.000E+00  0.000E+00
 -13.955  0.000E+00  0.000E+00
 -13.905  0.000E+00  0.000E+00
 -13.855  0.000E+00  0.000E+00
 -13.805  0.000E+00  0.000E+00
 -13.755  0.000E+00  0.000E+00
 -13.705  0.000E+00  0.000E+00
 -13.655  0.000E+00  0.000E+00
 -13.605  0.000E+00  0.000E+00
 -13.555  0.000E+00  0.000E+00
 -13.505  0.000E+00  0.000E+00
 -13.455  0.000E+00  0.000E+00
 -13.405  0.000E+00  0.000E+00
 -13.355  0.000E+00  0.000E+00
 -13.305  0.000E+00  0.000E+00
 -13.255  0.000E+00  0.000E+00
 -13.205  0.000E+00  0.000E+00
 -13.155  0.000E+00  0.000E+00
 -13.105  0.000E+00  0.000E+00
 -13.055  0.000E+00  0.000E+00
 -13.005  0.000E+00  0.000E+00
 -12.955  0.000E+00  0.000E+00
 -12.905  0.000E+00  0.000E+00
 -12.855  0.000E+00  0.000E+00
 -12.805  0.000E+00  0.000E+00
 -12.755  0.000E+00  0.000E+00
 -12.705  0.000E+00  0.000E+00
 -12.655  0.000E+00  0.000E+00
 -12.605  0.000E+00  0.000E+00
 -12.555  0.000E+00  0.000E+00
 -12.505  0.000E+00  0.000E+00
 -12.455  0.000E+00  0.000E+00
 -12.405  0.000E+00  0.000E+00
 -12.355  0.000E+00  0.000E+00
 -12.305  0.000E+00  0.000E+00
 -12.255  0.000E+00  0.000E+00
 -12.205  0.000E+00  0.000E+00
 -12.155  0.000E+00  0.000E+00
 -12.105  0.000E+00  0.000E+00
 -12.055  0.000E+00  0.000E+00
 -12.005  0.000E+00  0.000E+00
 -11.955  0.000E+00  0.000E+00
 -11.905  0.000E+00  0.000E+00
 -11.855  0.000E+00  0.000E+00
 -11.805  0.000E+00  0.000E+00
 -11.755  0.000E+00  0.000E+00
 -11.705  0.000E+00  0.000E+00
 -11.655  0.000E+00  0.000E+00
 -11.605  0.000E+00  0.000E+00
 -11.555  0.000E+00  0.000E+00
 -11.505  0.000E+00  0.000E+00
 -11.455  0.000E+00  0.000E+00
 -11.405  0.000E+00  0.000E+00
 -11.355  0.000E+00  0.000E+00
 -11.305  0.000E+00  0.000E+00
 -11.255  0.000E+00  0.000E+00
 -11.205  0.000E+00  0.000E+00
 -11.155  0.000E+00  0.000E+00
 -11.105  0.000E+00  0.000E+00
 -11.055  0.000E+00  0.000E+00
 -11.005  0.000E+00  0.000E+00
 -10.955  0.000E+00  0.000E+00
 -10.905  0.000E+00  0.000E+00
 -10.855  0.000E+00  0.000E+00
 -10.805  0.000E+00  0.000E+00
 -10.755  0.000E+00  0.000E+00
 -10.705  0.000E+00  0.000E+00
 -10.655  0.000E+00  0.000E+00
 -10.605  0.000E+00  0.000E+00
 -10.555  0.000E+00  0.000E+00
 -10.505  0.000E+00  0.000E+00
 -10.455  0.000E+00  0.000E+00
 -10.405  0.000E+00  0.000E+00
 -10.355  0.000E+00  0.000E+00
 -10.305  0.000E+00  0.000E+00
 -10.255  0.000E+00  0.000E+00
 -10.205  0.000E+00  0.000E+00
 -10.155  0.000E+00  0.000E+00
 -10.105  0.000E+00  0.000E+00
 -10.055  0.000E+00  0.000E+00
 -10.005  0.000E+00  0.000E+00
  -9.955  0.000E+00  0.000E+00
  -9.905  0.000E+00  0.000E+00
  -9.855  0.000E+00  0.000E+00
  -9.805  0.000E+00  0.000E+00
  -9.755  0.000E+00  0.000E+00
  -9.705  0.000E+00  0.000E+00
  -9.655  0.000E+00  0.000E+00
  -9.605  0.000E+00  0.000E+00
  -9.555  0.000E+00  0.000E+00
  -9.505  0.000E+00  0.000E+00
  -9.455  0.000E+00  0.000E+00
  -9.405  0.000E+00  0.000E+00
  -9.355  0.000E+00  0.000E+00
  -9.305  0.000E+00  0.000E+00
  -9.255  0.000E+00  0.000E+00
  -9.205  0.000E+00  0.000E+00
  -9.155  0.000E+00  0.000E+00
  -9.105  0.000E+00  0.000E+00
  -9.055  0.000E+00  0.000E+00
  -9.005  0.000E+00  0.000E+00
  -8.955  0.000E+00  0.000E+00
  -8.905  0.000E+00  0.000E+00
  -8.855  0.000E+00  0.000E+00
  -8.805  0.000E+00  0.000E+00
  -8.755  0.000E+00  0.000E+00
  -8.705  0.000E+00  0.000E+00
  -8.655  0.000E+00  0.000E+00
  -8.605  0.000E+00  0.000E+00
  -8.555  0.000E+00  0.000E+00
  -8.505  0.000E+00  0.000E+00
  -8.455  0.000E+00  0.000E+00
  -8.405  0.000E+00  0.000E+00
  -8.355  0.000E+00  0.000E+00
  -8.305  0.000E+00  0.000E+00
  -8.255  0.000E+00  0.000E+00
  -8.205  0.000E+00  0.000E+00
  -8.155  0.000E+00  0.000E+00
  -8.105  0.000E+00  0.000E+00
  -8.055  0.000E+00  0.000E+00
  -8.005  0.000E+00  0.000E+00
  -7.955  0.000E+00  0.000E+00
  -7.905  0.000E+00  0.000E+00
  -7.855  0.000E+00  0.000E+00
  -7.805  0.000E+00  0.000E+00
  -7.755  0.000E+00  0.000E+00
  -7.705  0.000E+00  0.000E+00
  -7.655  0.000E+00  0.000E+00
  -7.605  0.000E+00  0.000E+00
  -7.555  0.000E+00  0.000E+00
  -7.505  0.000E+00  0.000E+00
  -7.455  0.000E+00  0.000E+00
  -7.405  0.000E+00  0.000E+00
  -7.355  0.000E+00  0.000E+00
  -7.305  0.000E+00  0.000E+00
  -7.255  0.000E+00  0.000E+00
  -7.205  0.000E+00  0.000E+00
  -7.155  0.000E+00  0.000E+00
  -7.105  0.000E+00  0.000E+00
  -7.055  0.000E+00  0.000E+00
  -7.005  0.000E+00  0.000E+00
  -6.955  0.000E+00  0.000E+00
  -6.905  0.000E+00  0.000E+00
  -6.855  0.000E+00  0.000E+00
  -6.805  0.000E+00  0.000E+00
  -6.755  0.000E+00  0.000E+00
  -6.705  0.000E+00  0.000E+00
  -6.655  0.000E+00  0.000E+00
  -6.605  0.000E+00  0.000E+00
  -6.555  0.000E+00  0.000E+00
  -6.505  0.000E+00  0.000E+00
  -6.455  0.000E+00  0.000E+00
  -6.405  0.000E+00  0.000E+00
  -6.355  0.000E+00  0.000E+00
  -6.305  0.000E+00  0.000E+00
  -6.255  0.000E+00  0.000E+00
  -6.205  0.000E+00  0.000E+00
  -6.155  0.000E+00  0.000E+00
  -6.105  0.000E+00  0.000E+00
  -6.055  0.000E+00  0.000E+00
  -6.005  0.000E+00  0.000E+00
  -5.955  0.000E+00  0.000E+00
  -5.905  0.000E+00  0.000E+00
  -5.855  0.000E+00  0.000E+00
  -5.805  0.114E-11  0.114E-11
  -5.755  0.324E-10  0.324E-10
  -5.705  0.678E-09  0.678E-09
  -5.655  0.113E-07  0.113E-07
  -5.605  0.153E-06  0.153E-06
  -5.555  0.168E-05  0.168E-05
  -5.505  0.150E-04  0.150E-04
  -5.455  0.109E-03  0.109E-03
  -5.405  0.645E-03  0.645E-03
  -5.355  0.312E-02  0.312E-02
  -5.305  0.124E-01  0.124E-01
  -5.255  0.402E-01  0.402E-01
  -5.205  0.107E+00  0.107E+00
  -5.155  0.234E+00  0.234E+00
  -5.105  0.417E+00  0.417E+00
  -5.055  0.607E+00  0.607E+00
  -5.005  0.720E+00  0.720E+00
  -4.955  0.694E+00  0.694E+00
  -4.905  0.542E+00  0.542E+00
  -4.855  0.343E+00  0.343E+00
  -4.805  0.175E+00  0.175E+00
  -4.755  0.722E-01  0.722E-01
  -4.705  0.240E-01  0.240E-01
  -4.655  0.640E-02  0.640E-02
  -4.605  0.137E-02  0.137E-02
  -4.555  0.237E-03  0.237E-03
  -4.505  0.328E-04  0.328E-04
  -4.455  0.365E-05  0.365E-05
  -4.405  0.346E-06  0.346E-06
  -4.355  0.202E-06  0.202E-06
  -4.305  0.125E-05  0.125E-05
  -4.255  0.712E-05  0.712E-05
  -4.205  0.332E-04  0.332E-04
  -4.155  0.127E-03  0.127E-03
  -4.105  0.401E-03  0.401E-03
  -4.055  0.104E-02  0.104E-02
  -4.005  0.224E-02  0.224E-02
  -3.955  0.401E-02  0.401E-02
  -3.905  0.608E-02  0.608E-02
  -3.855  0.802E-02  0.802E-02
  -3.805  0.956E-02  0.956E-02
  -3.755  0.107E-01  0.107E-01
  -3.705  0.112E-01  0.112E-01
  -3.655  0.112E-01  0.112E-01
  -3.605  0.107E-01  0.107E-01
  -3.555  0.105E-01  0.105E-01
  -3.505  0.111E-01  0.111E-01
  -3.455  0.124E-01  0.124E-01
  -3.405  0.133E-01  0.133E-01
  -3.355  0.131E-01  0.131E-01
  -3.305  0.122E-01  0.122E-01
  -3.255  0.117E-01  0.117E-01
  -3.205  0.127E-01  0.127E-01
  -3.155  0.158E-01  0.158E-01
  -3.105  0.199E-01  0.199E-01
  -3.055  0.232E-01  0.232E-01
  -3.005  0.250E-01  0.250E-01
  -2.955  0.276E-01  0.276E-01
  -2.905  0.362E-01  0.362E-01
  -2.855  0.576E-01  0.576E-01
  -2.805  0.100E+00  0.100E+00
  -2.755  0.174E+00  0.174E+00
  -2.705  0.289E+00  0.289E+00
  -2.655  0.445E+00  0.445E+00
  -2.605  0.617E+00  0.617E+00
  -2.555  0.749E+00  0.749E+00
  -2.505  0.782E+00  0.782E+00
  -2.455  0.701E+00  0.701E+00
  -2.405  0.545E+00  0.545E+00
  -2.355  0.378E+00  0.378E+00
  -2.305  0.245E+00  0.245E+00
  -2.255  0.158E+00  0.158E+00
  -2.205  0.106E+00  0.106E+00
  -2.155  0.749E-01  0.749E-01
  -2.105  0.546E-01  0.546E-01
  -2.055  0.404E-01  0.404E-01
  -2.005  0.296E-01  0.296E-01
  -1.955  0.214E-01  0.214E-01
  -1.905  0.154E-01  0.154E-01
  -1.855  0.115E-01  0.115E-01
  -1.805  0.925E-02  0.925E-02
  -1.755  0.800E-02  0.800E-02
  -1.705  0.699E-02  0.699E-02
  -1.655  0.583E-02  0.583E-02
  -1.605  0.458E-02  0.458E-02
  -1.555  0.351E-02  0.351E-02
  -1.505  0.279E-02  0.279E-02
  -1.455  0.239E-02  0.239E-02
  -1.405  0.217E-02  0.217E-02
  -1.355  0.197E-02  0.197E-02
  -1.305  0.173E-02  0.173E-02
  -1.255  0.147E-02  0.147E-02
  -1.205  0.129E-02  0.129E-02
  -1.155  0.126E-02  0.126E-02
  -1.105  0.137E-02  0.137E-02
  -1.055  0.156E-02  0.156E-02
  -1.005  0.171E-02  0.171E-02
  -0.955  0.177E-02  0.177E-02
  -0.905  0.174E-02  0.174E-02
  -0.855  0.164E-02  0.164E-02
  -0.805  0.148E-02  0.148E-02
  -0.755  0.130E-02  0.130E-02
  -0.705  0.114E-02  0.114E-02
  -0.655  0.107E-02  0.107E-02
  -0.605  0.108E-02  0.108E-02
  -0.555  0.114E-02  0.114E-02
  -0.505  0.119E-02  0.119E-02
  -0.455  0.118E-02  0.118E-02
  -0.405  0.110E-02  0.110E-02
  -0.355  0.990E-03  0.990E-03
  -0.305  0.866E-03  0.866E-03
  -0.255  0.744E-03  0.744E-03
  -0.205  0.633E-03  0.633E-03
  -0.155  0.544E-03  0.544E-03
  -0.105  0.484E-03  0.484E-03
  -0.055  0.451E-03  0.451E-03
  -0.005  0.435E-03  0.435E-03
   0.045  0.418E-03  0.418E-03
   0.095  0.390E-03  0.390E-03
   0.145  0.349E-03  0.349E-03
   0.195  0.304E-03  0.304E-03
   0.245  0.261E-03  0.261E-03
   0.295  0.225E-03  0.225E-03
   0.345  0.198E-03  0.198E-03
