# E (eV)   ldos(E)   pdos(E)    pdos(E)    pdos(E)   
 -19.205  0.739E-04  0.739E-04  0.391E-09  0.391E-09
 -19.155  0.493E-03  0.493E-03  0.261E-08  0.261E-08
 -19.105  0.263E-02  0.263E-02  0.139E-07  0.139E-07
 -19.055  0.112E-01  0.112E-01  0.594E-07  0.594E-07
 -19.005  0.384E-01  0.384E-01  0.203E-06  0.203E-06
 -18.955  0.105E+00  0.105E+00  0.554E-06  0.554E-06
 -18.905  0.230E+00  0.230E+00  0.121E-05  0.121E-05
 -18.855  0.402E+00  0.402E+00  0.211E-05  0.211E-05
 -18.805  0.562E+00  0.562E+00  0.295E-05  0.295E-05
 -18.755  0.629E+00  0.629E+00  0.330E-05  0.330E-05
 -18.705  0.563E+00  0.563E+00  0.296E-05  0.296E-05
 -18.655  0.403E+00  0.403E+00  0.211E-05  0.211E-05
 -18.605  0.231E+00  0.231E+00  0.121E-05  0.121E-05
 -18.555  0.106E+00  0.106E+00  0.554E-06  0.554E-06
 -18.505  0.388E-01  0.388E-01  0.203E-06  0.203E-06
 -18.455  0.114E-01  0.114E-01  0.595E-07  0.595E-07
 -18.405  0.267E-02  0.267E-02  0.139E-07  0.139E-07
 -18.355  0.501E-03  0.501E-03  0.261E-08  0.261E-08
 -18.305  0.752E-04  0.752E-04  0.392E-09  0.392E-09
 -18.255  0.903E-05  0.903E-05  0.470E-10  0.470E-10
 -18.205  0.867E-06  0.867E-06  0.451E-11  0.451E-11
 -18.155  0.666E-07  0.666E-07  0.347E-12  0.347E-12
 -18.105  0.409E-08  0.409E-08  0.213E-13  0.213E-13
 -18.055  0.201E-09  0.201E-09  0.105E-14  0.105E-14
 -18.005  0.792E-11  0.792E-11  0.411E-16  0.411E-16
 -17.955  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.905  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.855  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.805  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.755  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.705  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.655  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.605  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.555  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.505  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.455  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.405  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.355  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.305  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.255  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.205  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.155  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.105  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.055  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.005  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.955  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.905  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.855  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.805  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.755  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.705  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.655  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.605  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.555  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.505  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.455  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.405  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.355  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.305  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.255  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.205  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.155  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.105  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.055  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.005  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.955  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.905  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.855  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.805  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.755  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.705  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.655  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.605  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.555  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.505  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.455  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.405  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.355  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.305  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.255  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.205  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.155  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.105  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.055  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.005  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.955  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.905  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.855  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.805  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.755  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.705  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.655  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.605  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.555  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.505  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.455  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.405  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.355  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.305  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.255  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.205  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.155  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.105  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.055  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.005  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -13.955  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -13.905  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -13.855  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -13.805  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -13.755  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -13.705  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -13.655  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -13.605  0.000E+00  0.000E+00  0.000E+00  0.000E+00
