# E (eV)   ldos(E)   pdos(E)    pdos(E)    pdos(E)   
 -14.555  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.505  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.455  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.405  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.355  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.305  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.255  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.205  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.155  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.105  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.055  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.005  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -13.955  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -13.905  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -13.855  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -13.805  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -13.755  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -13.705  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -13.655  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -13.605  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -13.555  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -13.505  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -13.455  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -13.405  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -13.355  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -13.305  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -13.255  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -13.205  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -13.155  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -13.105  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -13.055  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -13.005  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -12.955  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -12.905  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -12.855  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -12.805  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -12.755  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -12.705  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -12.655  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -12.605  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -12.555  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -12.505  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -12.455  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -12.405  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -12.355  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -12.305  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -12.255  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -12.205  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -12.155  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -12.105  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -12.055  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -12.005  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -11.955  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -11.905  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -11.855  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -11.805  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -11.755  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -11.705  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -11.655  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -11.605  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -11.555  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -11.505  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -11.455  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -11.405  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -11.355  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -11.305  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -11.255  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -11.205  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -11.155  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -11.105  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -11.055  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -11.005  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -10.955  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -10.905  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -10.855  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -10.805  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -10.755  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -10.705  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -10.655  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -10.605  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -10.555  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -10.505  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -10.455  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -10.405  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -10.355  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -10.305  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -10.255  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -10.205  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -10.155  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -10.105  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -10.055  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -10.005  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -9.955  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -9.905  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -9.855  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -9.805  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -9.755  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -9.705  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -9.655  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -9.605  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -9.555  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -9.505  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -9.455  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -9.405  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -9.355  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -9.305  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -9.255  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -9.205  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -9.155  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -9.105  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -9.055  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -9.005  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -8.955  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -8.905  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -8.855  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -8.805  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -8.755  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -8.705  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -8.655  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -8.605  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -8.555  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -8.505  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -8.455  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -8.405  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -8.355  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -8.305  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -8.255  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -8.205  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -8.155  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -8.105  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -8.055  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -8.005  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -7.955  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -7.905  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -7.855  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -7.805  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -7.755  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -7.705  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -7.655  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -7.605  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -7.555  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -7.505  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -7.455  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -7.405  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -7.355  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -7.305  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -7.255  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -7.205  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -7.155  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -7.105  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -7.055  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -7.005  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -6.955  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -6.905  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -6.855  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -6.805  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -6.755  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -6.705  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -6.655  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -6.605  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -6.555  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -6.505  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -6.455  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -6.405  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -6.355  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -6.305  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -6.255  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -6.205  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -6.155  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -6.105  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -6.055  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -6.005  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -5.955  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -5.905  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -5.855  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -5.805  0.189E-11  0.189E-11  0.346E-16  0.346E-16
  -5.755  0.531E-10  0.531E-10  0.971E-15  0.971E-15
  -5.705  0.111E-08  0.111E-08  0.202E-13  0.202E-13
  -5.655  0.185E-07  0.185E-07  0.337E-12  0.337E-12
  -5.605  0.249E-06  0.249E-06  0.453E-11  0.453E-11
  -5.555  0.272E-05  0.272E-05  0.489E-10  0.489E-10
  -5.505  0.241E-04  0.241E-04  0.424E-09  0.424E-09
  -5.455  0.174E-03  0.174E-03  0.296E-08  0.296E-08
  -5.405  0.102E-02  0.102E-02  0.167E-07  0.167E-07
  -5.355  0.492E-02  0.492E-02  0.755E-07  0.755E-07
  -5.305  0.194E-01  0.194E-01  0.276E-06  0.276E-06
  -5.255  0.625E-01  0.625E-01  0.811E-06  0.811E-06
  -5.205  0.165E+00  0.165E+00  0.192E-05  0.192E-05
  -5.155  0.358E+00  0.358E+00  0.368E-05  0.368E-05
  -5.105  0.634E+00  0.634E+00  0.569E-05  0.569E-05
  -5.055  0.918E+00  0.918E+00  0.710E-05  0.710E-05
  -5.005  0.108E+01  0.108E+01  0.715E-05  0.715E-05
  -4.955  0.104E+01  0.104E+01  0.582E-05  0.582E-05
  -4.905  0.810E+00  0.810E+00  0.383E-05  0.383E-05
  -4.855  0.510E+00  0.510E+00  0.204E-05  0.204E-05
  -4.805  0.260E+00  0.260E+00  0.875E-06  0.875E-06
  -4.755  0.107E+00  0.107E+00  0.304E-06  0.304E-06
  -4.705  0.354E-01  0.354E-01  0.853E-07  0.853E-07
  -4.655  0.945E-02  0.945E-02  0.193E-07  0.193E-07
  -4.605  0.203E-02  0.203E-02  0.354E-08  0.354E-08
  -4.555  0.349E-03  0.349E-03  0.524E-09  0.524E-09
  -4.505  0.483E-04  0.483E-04  0.626E-10  0.626E-10
  -4.455  0.536E-05  0.536E-05  0.633E-11  0.633E-11
  -4.405  0.480E-06  0.480E-06  0.464E-11  0.464E-11
  -4.355  0.549E-07  0.548E-07  0.466E-10  0.466E-10
  -4.305  0.145E-06  0.144E-06  0.415E-09  0.415E-09
  -4.255  0.801E-06  0.795E-06  0.297E-08  0.297E-08
  -4.205  0.366E-05  0.363E-05  0.170E-07  0.170E-07
  -4.155  0.137E-04  0.136E-04  0.782E-07  0.782E-07
  -4.105  0.422E-04  0.416E-04  0.290E-06  0.290E-06
  -4.055  0.107E-03  0.105E-03  0.873E-06  0.873E-06
  -4.005  0.222E-03  0.218E-03  0.216E-05  0.216E-05
  -3.955  0.383E-03  0.374E-03  0.447E-05  0.447E-05
  -3.905  0.548E-03  0.532E-03  0.803E-05  0.803E-05
  -3.855  0.660E-03  0.635E-03  0.129E-04  0.129E-04
  -3.805  0.688E-03  0.650E-03  0.191E-04  0.191E-04
  -3.755  0.641E-03  0.589E-03  0.260E-04  0.260E-04
  -3.705  0.553E-03  0.490E-03  0.319E-04  0.319E-04
  -3.655  0.450E-03  0.379E-03  0.355E-04  0.355E-04
  -3.605  0.345E-03  0.271E-03  0.374E-04  0.374E-04
  -3.555  0.256E-03  0.175E-03  0.404E-04  0.404E-04
  -3.505  0.202E-03  0.108E-03  0.467E-04  0.467E-04
  -3.455  0.189E-03  0.795E-04  0.546E-04  0.546E-04
  -3.405  0.211E-03  0.913E-04  0.597E-04  0.597E-04
  -3.355  0.265E-03  0.147E-03  0.591E-04  0.591E-04
  -3.305  0.379E-03  0.270E-03  0.543E-04  0.543E-04
  -3.255  0.626E-03  0.526E-03  0.502E-04  0.502E-04
  -3.205  0.110E-02  0.996E-03  0.518E-04  0.518E-04
  -3.155  0.182E-02  0.170E-02  0.609E-04  0.609E-04
  -3.105  0.270E-02  0.255E-02  0.733E-04  0.733E-04
  -3.055  0.360E-02  0.344E-02  0.816E-04  0.816E-04
  -3.005  0.479E-02  0.463E-02  0.811E-04  0.811E-04
  -2.955  0.731E-02  0.716E-02  0.752E-04  0.752E-04
  -2.905  0.134E-01  0.133E-01  0.738E-04  0.738E-04
  -2.855  0.271E-01  0.269E-01  0.866E-04  0.866E-04
  -2.805  0.550E-01  0.547E-01  0.120E-03  0.120E-03
  -2.755  0.107E+00  0.107E+00  0.176E-03  0.176E-03
  -2.705  0.196E+00  0.195E+00  0.249E-03  0.249E-03
  -2.655  0.324E+00  0.324E+00  0.329E-03  0.329E-03
