# E (eV)   ldos(E)   pdos(E)   
 -19.205  0.139E-03  0.139E-03
 -19.155  0.925E-03  0.925E-03
 -19.105  0.494E-02  0.494E-02
 -19.055  0.211E-01  0.211E-01
 -19.005  0.721E-01  0.721E-01
 -18.955  0.197E+00  0.197E+00
 -18.905  0.431E+00  0.431E+00
 -18.855  0.753E+00  0.753E+00
 -18.805  0.105E+01  0.105E+01
 -18.755  0.118E+01  0.118E+01
 -18.705  0.106E+01  0.106E+01
 -18.655  0.756E+00  0.756E+00
 -18.605  0.433E+00  0.433E+00
 -18.555  0.198E+00  0.198E+00
 -18.505  0.728E-01  0.728E-01
 -18.455  0.213E-01  0.213E-01
 -18.405  0.500E-02  0.500E-02
 -18.355  0.939E-03  0.939E-03
 -18.305  0.141E-03  0.141E-03
 -18.255  0.169E-04  0.169E-04
 -18.205  0.163E-05  0.163E-05
 -18.155  0.125E-06  0.125E-06
 -18.105  0.768E-08  0.768E-08
 -18.055  0.377E-09  0.377E-09
 -18.005  0.148E-10  0.148E-10
 -17.955  0.000E+00  0.000E+00
 -17.905  0.000E+00  0.000E+00
 -17.855  0.000E+00  0.000E+00
 -17.805  0.000E+00  0.000E+00
 -17.755  0.000E+00  0.000E+00
 -17.705  0.000E+00  0.000E+00
 -17.655  0.000E+00  0.000E+00
 -17.605  0.000E+00  0.000E+00
 -17.555  0.000E+00  0.000E+00
 -17.505  0.000E+00  0.000E+00
 -17.455  0.000E+00  0.000E+00
 -17.405  0.000E+00  0.000E+00
 -17.355  0.000E+00  0.000E+00
 -17.305  0.000E+00  0.000E+00
 -17.255  0.000E+00  0.000E+00
 -17.205  0.000E+00  0.000E+00
 -17.155  0.000E+00  0.000E+00
 -17.105  0.000E+00  0.000E+00
 -17.055  0.000E+00  0.000E+00
 -17.005  0.000E+00  0.000E+00
 -16.955  0.000E+00  0.000E+00
 -16.905  0.000E+00  0.000E+00
 -16.855  0.000E+00  0.000E+00
 -16.805  0.000E+00  0.000E+00
 -16.755  0.000E+00  0.000E+00
 -16.705  0.000E+00  0.000E+00
 -16.655  0.000E+00  0.000E+00
 -16.605  0.000E+00  0.000E+00
 -16.555  0.000E+00  0.000E+00
 -16.505  0.000E+00  0.000E+00
 -16.455  0.000E+00  0.000E+00
 -16.405  0.000E+00  0.000E+00
 -16.355  0.000E+00  0.000E+00
 -16.305  0.000E+00  0.000E+00
 -16.255  0.000E+00  0.000E+00
 -16.205  0.000E+00  0.000E+00
 -16.155  0.000E+00  0.000E+00
 -16.105  0.000E+00  0.000E+00
 -16.055  0.000E+00  0.000E+00
 -16.005  0.000E+00  0.000E+00
 -15.955  0.000E+00  0.000E+00
 -15.905  0.000E+00  0.000E+00
 -15.855  0.000E+00  0.000E+00
 -15.805  0.000E+00  0.000E+00
 -15.755  0.000E+00  0.000E+00
 -15.705  0.000E+00  0.000E+00
 -15.655  0.000E+00  0.000E+00
 -15.605  0.000E+00  0.000E+00
 -15.555  0.000E+00  0.000E+00
 -15.505  0.000E+00  0.000E+00
 -15.455  0.000E+00  0.000E+00
 -15.405  0.000E+00  0.000E+00
 -15.355  0.000E+00  0.000E+00
 -15.305  0.000E+00  0.000E+00
 -15.255  0.000E+00  0.000E+00
 -15.205  0.000E+00  0.000E+00
 -15.155  0.000E+00  0.000E+00
 -15.105  0.000E+00  0.000E+00
 -15.055  0.000E+00  0.000E+00
 -15.005  0.000E+00  0.000E+00
 -14.955  0.000E+00  0.000E+00
 -14.905  0.000E+00  0.000E+00
 -14.855  0.000E+00  0.000E+00
 -14.805  0.000E+00  0.000E+00
 -14.755  0.000E+00  0.000E+00
 -14.705  0.000E+00  0.000E+00
 -14.655  0.000E+00  0.000E+00
 -14.605  0.000E+00  0.000E+00
 -14.555  0.000E+00  0.000E+00
 -14.505  0.000E+00  0.000E+00
 -14.455  0.000E+00  0.000E+00
 -14.405  0.000E+00  0.000E+00
 -14.355  0.000E+00  0.000E+00
 -14.305  0.000E+00  0.000E+00
 -14.255  0.000E+00  0.000E+00
 -14.205  0.000E+00  0.000E+00
 -14.155  0.000E+00  0.000E+00
 -14.105  0.000E+00  0.000E+00
 -14.055  0.000E+00  0.000E+00
 -14.005  0.000E+00  0.000E+00
 -13.955  0.000E+00  0.000E+00
 -13.905  0.000E+00  0.000E+00
 -13.855  0.000E+00  0.000E+00
 -13.805  0.000E+00  0.000E+00
 -13.755  0.000E+00  0.000E+00
 -13.705  0.000E+00  0.000E+00
 -13.655  0.000E+00  0.000E+00
 -13.605  0.000E+00  0.000E+00
 -13.555  0.000E+00  0.000E+00
 -13.505  0.000E+00  0.000E+00
 -13.455  0.000E+00  0.000E+00
 -13.405  0.000E+00  0.000E+00
 -13.355  0.000E+00  0.000E+00
 -13.305  0.000E+00  0.000E+00
 -13.255  0.000E+00  0.000E+00
 -13.205  0.000E+00  0.000E+00
 -13.155  0.000E+00  0.000E+00
 -13.105  0.000E+00  0.000E+00
 -13.055  0.000E+00  0.000E+00
 -13.005  0.000E+00  0.000E+00
 -12.955  0.000E+00  0.000E+00
 -12.905  0.000E+00  0.000E+00
 -12.855  0.000E+00  0.000E+00
 -12.805  0.000E+00  0.000E+00
 -12.755  0.000E+00  0.000E+00
 -12.705  0.000E+00  0.000E+00
 -12.655  0.000E+00  0.000E+00
 -12.605  0.000E+00  0.000E+00
 -12.555  0.000E+00  0.000E+00
 -12.505  0.000E+00  0.000E+00
 -12.455  0.000E+00  0.000E+00
 -12.405  0.000E+00  0.000E+00
 -12.355  0.000E+00  0.000E+00
 -12.305  0.000E+00  0.000E+00
 -12.255  0.000E+00  0.000E+00
 -12.205  0.000E+00  0.000E+00
 -12.155  0.000E+00  0.000E+00
 -12.105  0.000E+00  0.000E+00
 -12.055  0.000E+00  0.000E+00
 -12.005  0.000E+00  0.000E+00
 -11.955  0.000E+00  0.000E+00
 -11.905  0.000E+00  0.000E+00
 -11.855  0.000E+00  0.000E+00
 -11.805  0.000E+00  0.000E+00
 -11.755  0.000E+00  0.000E+00
 -11.705  0.000E+00  0.000E+00
 -11.655  0.000E+00  0.000E+00
 -11.605  0.000E+00  0.000E+00
 -11.555  0.000E+00  0.000E+00
