# E (eV)   ldos(E)   pdos(E)    pdos(E)    pdos(E)    pdos(E)    pdos(E)   
 -19.205  0.142E-05  0.142E-05  0.269E-09  0.269E-09  0.528E-09  0.528E-09
 -19.155  0.947E-05  0.946E-05  0.180E-08  0.180E-08  0.353E-08  0.353E-08
 -19.105  0.506E-04  0.505E-04  0.959E-08  0.959E-08  0.189E-07  0.189E-07
 -19.055  0.216E-03  0.216E-03  0.409E-07  0.409E-07  0.807E-07  0.807E-07
 -19.005  0.738E-03  0.737E-03  0.140E-06  0.140E-06  0.276E-06  0.276E-06
 -18.955  0.202E-02  0.202E-02  0.382E-06  0.382E-06  0.755E-06  0.755E-06
 -18.905  0.441E-02  0.441E-02  0.834E-06  0.834E-06  0.165E-05  0.165E-05
 -18.855  0.772E-02  0.771E-02  0.146E-05  0.146E-05  0.289E-05  0.289E-05
 -18.805  0.108E-01  0.108E-01  0.204E-05  0.204E-05  0.405E-05  0.405E-05
 -18.755  0.121E-01  0.121E-01  0.228E-05  0.228E-05  0.454E-05  0.454E-05
 -18.705  0.108E-01  0.108E-01  0.204E-05  0.204E-05  0.407E-05  0.407E-05
 -18.655  0.775E-02  0.774E-02  0.146E-05  0.146E-05  0.292E-05  0.292E-05
 -18.605  0.444E-02  0.443E-02  0.835E-06  0.835E-06  0.167E-05  0.167E-05
 -18.555  0.203E-02  0.203E-02  0.382E-06  0.382E-06  0.768E-06  0.768E-06
 -18.505  0.745E-03  0.745E-03  0.140E-06  0.140E-06  0.282E-06  0.282E-06
 -18.455  0.219E-03  0.218E-03  0.411E-07  0.411E-07  0.827E-07  0.827E-07
 -18.405  0.513E-04  0.512E-04  0.963E-08  0.963E-08  0.194E-07  0.194E-07
 -18.355  0.962E-05  0.961E-05  0.180E-08  0.180E-08  0.365E-08  0.365E-08
 -18.305  0.144E-05  0.144E-05  0.271E-09  0.271E-09  0.548E-09  0.548E-09
 -18.255  0.173E-06  0.173E-06  0.325E-10  0.325E-10  0.659E-10  0.659E-10
 -18.205  0.167E-07  0.166E-07  0.312E-11  0.312E-11  0.633E-11  0.633E-11
 -18.155  0.128E-08  0.128E-08  0.239E-12  0.239E-12  0.487E-12  0.487E-12
 -18.105  0.787E-10  0.786E-10  0.147E-13  0.147E-13  0.300E-13  0.300E-13
 -18.055  0.387E-11  0.386E-11  0.723E-15  0.723E-15  0.148E-14  0.148E-14
 -18.005  0.152E-12  0.152E-12  0.284E-16  0.284E-16  0.581E-16  0.581E-16
 -17.955  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.905  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.855  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.805  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.755  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.705  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.655  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.605  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.555  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.505  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.455  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.405  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.355  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.305  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.255  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.205  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.155  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.105  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.055  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.005  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.955  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.905  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.855  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.805  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.755  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.705  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.655  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.605  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.555  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.505  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.455  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.405  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.355  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.305  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.255  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.205  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.155  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.105  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.055  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.005  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.955  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.905  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.855  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.805  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.755  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.705  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.655  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.605  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.555  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.505  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.455  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.405  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.355  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.305  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.255  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.205  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.155  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.105  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.055  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.005  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.955  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.905  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.855  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.805  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
