  0.56686961E+00 -0.54641855E+01	    0.3614   -5.4638
  0.59151612E+00 -0.54620210E+01	    0.3771   -5.4618
  0.61616262E+00 -0.54601318E+01	    0.3928   -5.4601
  0.64080913E+00 -0.54586342E+01	    0.4086   -5.4588
  0.66545563E+00 -0.54575468E+01	    0.4243   -5.4577
  0.69010214E+00 -0.54568143E+01	    0.4400   -5.4569
  0.71474864E+00 -0.54563905E+01	    0.4557   -5.4564
  0.73939515E+00 -0.54562717E+01	    0.4714   -5.4563
  0.76444021E+00 -0.54563744E+01	    0.4874   -5.4563
  0.78948528E+00 -0.54566750E+01	    0.5033   -5.4566
  0.81453034E+00 -0.54570717E+01	    0.5193   -5.4570
  0.83957541E+00 -0.54574984E+01	    0.5353   -5.4575
  0.86462047E+00 -0.54579776E+01	    0.5512   -5.4581
  0.88966553E+00 -0.54585896E+01	    0.5672   -5.4589
  0.91471060E+00 -0.54594059E+01	    0.5832   -5.4598
  0.93975566E+00 -0.54604469E+01	    0.5991   -5.4607
  0.96480073E+00 -0.54616688E+01	    0.6151   -5.4618
  0.98984579E+00 -0.54629667E+01	    0.6311   -5.4629
  0.10148909E+01 -0.54642083E+01	    0.6470   -5.4640
  0.10399359E+01 -0.54653041E+01	    0.6630   -5.4652
  0.10649810E+01 -0.54662663E+01	    0.6790   -5.4663
  0.10900260E+01 -0.54671868E+01	    0.6950   -5.4674
  0.11150711E+01 -0.54681530E+01	    0.7109   -5.4684
  0.11401162E+01 -0.54691907E+01	    0.7269   -5.4694
  0.11651612E+01 -0.54702746E+01	    0.7429   -5.4702
  0.11902063E+01 -0.54713533E+01	    0.7588   -5.4710
  0.12152514E+01 -0.54723388E+01	    0.7748   -5.4716
  0.12402964E+01 -0.54730929E+01	    0.7908   -5.4721
  0.12653415E+01 -0.54734773E+01	    0.8067   -5.4725
  0.12903866E+01 -0.54734489E+01	    0.8227   -5.4726
  0.13154316E+01 -0.54731022E+01	    0.8387   -5.4727
  0.13404767E+01 -0.54726060E+01	    0.8546   -5.4725
  0.13655218E+01 -0.54721007E+01	    0.8706   -5.4722
  0.13905668E+01 -0.54716449E+01	    0.8866   -5.4718
  0.14149669E+01 -0.54739308E+01	    0.9021   -5.4747
  0.14393669E+01 -0.54765960E+01	    0.9177   -5.4779
  0.14637669E+01 -0.54799220E+01	    0.9332   -5.4812
  0.14881670E+01 -0.54839497E+01	    0.9488   -5.4847
  0.15125670E+01 -0.54884002E+01	    0.9643   -5.4883
  0.15369671E+01 -0.54928039E+01	    0.9799   -5.4919
  0.15613671E+01 -0.54967768E+01	    0.9955   -5.4956
  0.15857671E+01 -0.55002388E+01	    1.0110   -5.4993
  0.16101672E+01 -0.55033856E+01	    1.0266   -5.5030
  0.16345672E+01 -0.55064724E+01	    1.0421   -5.5065
  0.16589673E+01 -0.55096273E+01	    1.0577   -5.5099
  0.16833673E+01 -0.55128145E+01	    1.0732   -5.5132
  0.17077673E+01 -0.55159035E+01	    1.0888   -5.5162
  0.17321674E+01 -0.55187528E+01	    1.1044   -5.5189
  0.17565674E+01 -0.55212548E+01	    1.1199   -5.5213
  0.17809675E+01 -0.55233396E+01	    1.1355   -5.5233
  0.18053675E+01 -0.55249623E+01	    1.1510   -5.5249
  0.18297675E+01 -0.55261011E+01	    1.1666   -5.5260
  0.18541676E+01 -0.55267651E+01	    1.1821   -5.5267
  0.18785676E+01 -0.55269846E+01	    1.1977   -5.5270
